date,campaign_name,adset_name,ad_name,impressions,clicks,spend,conversions
2026-07-06,[빙과_파인트_초코] 26.02_복요파출시_수동_전환_video_전체타겟,쩜오건_3월 3주차,[26.03]F_V_P초_전환_복요파출시_쩜오건_밈활용_var1.릴스_기본.03_00_이봄_260320_1T_이봄1,1909,58,37286,6
2026-07-06,[빙과_파인트_망고] 26.04_망요파출시_ASC_전환_video_전체타겟_4월 2주차_현장네고형/관계성네고형,[파인트_망고] 26.04_망요파출시_ASC_전환_video_전체타겟_4월 2주차_현장네고형/관계성네고형,[26.04]F_V_P망_전환_망요파출시_네고형_관계성네고형_var5.릴스_지역페르소나.망고.(재)_1C_고가영_260413_1T_이봄1,4824,109,66314,11
2026-07-06,[빙과_파인트_망고] 26.04_망요파출시_수동_전환_video_전체타겟,4월 3주차_쩜오건_마미케어BP(3),[26.04]F_V_P망_전환_망요파출시_쩜오건_마미케어BP_main.릴스_기본.가격구성집중.재원PJ1_1C_최재원_260417_1T_최재원,564,27,13645,2
2026-07-06,[빙과_파인트_망고] 26.04_망요파출시_ASC_전환_video_전체타겟_4월 4주차_유인맨즈BP/전라도청년BP,[파인트_망고] 26.04_망요파출시_ASC_전환_video_전체타겟_4월 4주차_유인맨즈BP/전라도청년BP,[26.04]F_V_P망_전환_망요파출시_네고형_관계성네고형_var1.릴스_규모감.X_1C_고가영_260424_1T_이미진,4533,141,52105,8
2026-07-06,[빙과_파인트] 26.04_파인트990원_수동_전환_video_전체타겟,4월 5주차_네고형,[26.05]F_V_P혼_전환_파인트990원_네고형_기본네고형_var1.릴스_악플읽기.재원PJ1_1C_문선정_260501_1T_최재원,4263,129,48425,6
2026-07-06,[빙과_파인트] 26.04_파인트990원_수동_전환_video_전체타겟,4월 5주차_쩜오건_혼합,[26.05]F_V_P혼_전환_파인트990원_원데이건_캡컷_main.릴스_담아도990.재원PJ1_1C_이미진_260501_1T_이미진,28377,741,399237,61
2026-07-06,[빙과_스틱바_듬뿍바] 26.05_듬뿍바출시_수동_전환_video_전체타겟,5월 2주차_딸듬바_네고형,[26.05]F_V_DB딸_전환_듬뿍바출시이벤트_네고형_네고형_main.릴스_딸기주물럭.현경PJ1_2C_허재희_260514_2T_노현경,4279,65,56645,6
2026-07-06,[빙과_스틱바_듬뿍바] 26.05_듬뿍바출시_수동_전환_video_전체타겟,5월 2주차_딸듬바_미틀리에BP,[26.05]F_V_DB딸_전환_듬뿍바출시이벤트_원가강조형_미틀리에BP_var4.릴스_혜택.현경PJ1_2C_허재희_260515_2T_유영현,702,15,10835,0
2026-07-06,[빙과_파인트] 26.05_파인트990원_ASC_전환_video_전체타겟_5월 2주차_쩜오건/원데이건,[파인트] 26.05_파인트990원_ASC_전환_video_전체타겟_5월 2주차_쩜오건/원데이건,[26.05]F_V_P혼_전환_파인트990원_원데이건_골라담기BP_var3.릴스_맛.인트로.재원PJ1_1C_연시온_260515_1T_연시온,14094,328,184470,28
2026-07-06,[빙과_파인트] 26.04_파인트990원_수동_전환_video_전체타겟,5월 3주차_파르셀BP,[26.05]F_V_P애_전환_파인트990원_신규BP_파르셀BP_main.릴스_본론.X_1C_고가영_260522_1T_이봄1,62035,1280,662028,92
