소재명,instagram_permalink,ad_id
(운영X) [26.02]F_I_P요_전환_복요파출시_혜택강조형_혜택.100_.배너_혜택O.고효율.대표님.생요파.모나카_확장_문선정_260213_콘텐츠2_김나현,https://www.instagram.com/p/DUsWwuvABbP/,120242363294820659
(운영X) [26.02]F_I_P요_전환_복요파출시_혜택강조형_혜택.100_.배너_혜택O.고효율.이번주만.생요파.모나카_확장_문선정_260213_콘텐츠2_김나현,https://www.instagram.com/p/DUsWw5JgJDb/,120242363294830659
(운영X) [26.02]F_I_P요_전환_복요파출시_혜택강조형_혜택.100_.배너_혜택O.고효율.품절대란.생요파.모나카_확장_문선정_260213_콘텐츠2_김나현,https://www.instagram.com/p/DUsWwqHgKNK/,120242363294850659
(운영X) [26.04]F_I_BA복_전환_망요바출시_직원설득형_제품력.50_.배너_혜택O.예외적할인상황.판매중단.원가상승.전쟁.공지문.일시판매중단안내.생요거트_확장_허재희_260430_1셀_오형선,https://www.instagram.com/p/DXvFAEjACTH/,120246043073510659
(운영X) [26.04]F_I_BA복_전환_망요바출시_직원설득형_제품력.50_.배너_혜택O.예외적할인상황.판매중단.원가상승.전쟁.공지문.재입고어렵습니다.생요거트_확장_허재희_260428_1셀_문다현,https://www.instagram.com/p/DXrBf1rgHZR/,120245960108530659
(운영X) [26.04]F_I_BA복_전환_망요바출시_직원설득형_제품력.50_.배너_혜택O.예외적할인상황.판매중단.원가상승.전쟁.공지문.재입고어렵습니다.세계2위_확장_허재희_260428_1셀_문다현,https://www.instagram.com/p/DXrC4RigBex/,120245960108540659
(운영X) [26.04]F_I_BA복_전환_망요바출시_직원설득형_제품력.50_.배너_혜택O.예외적할인상황.판매중단.원가상승.전쟁.공지문.판매중단안내.생요거트_확장_허재희_260428_1셀_문다현,https://www.instagram.com/p/DXrBfrkgMX9/,120245960108550659
(운영X) [26.04]F_I_BA복_전환_망요바출시_직원설득형_제품력.50_.배너_혜택O.예외적할인상황.판매중단.원가상승.전쟁.공지문.판매중단안내.생요거트_확장_허재희_260430_1셀_오형선,https://www.instagram.com/p/DXvE6UpgP6R/,120246043073520659
(운영X) [26.04]F_I_BA혼_전환_망요바출시_직원설득형_제품력.50_.배너_혜택O.예외적할인상황.판매중단.원가상승.기온상승.공지문.일시판매중단안내.1년만의신상_확장_허재희_260428_1셀_오형선,https://www.instagram.com/p/DXrBfoqgKvJ/,120245960108450659
(운영X) [26.04]F_I_BA혼_전환_망요바출시_직원설득형_제품력.50_.배너_혜택O.예외적할인상황.판매중단.원가상승.기온상승.공지문.일시판매중단안내.생요거트_확장_허재희_260428_1셀_오형선,https://www.instagram.com/p/DXrBf0KgOEV/,120245960108560659
(운영X) [26.04]F_I_BA혼_전환_망요바출시_직원설득형_제품력.50_.배너_혜택O.예외적할인상황.판매중단.원가상승.기온상승.공지문.일시판매중단안내.세계2위_확장_허재희_260428_1셀_오형선,https://www.instagram.com/p/DXrBfojgMZI/,120245985612100659
(운영X) [26.04]F_I_BA혼_전환_망요바출시_직원설득형_제품력.50_.배너_혜택O.예외적할인상황.판매중단.원가상승.전쟁.공지문.일시판매중단안내.생요거트_확장_허재희_260428_1셀_오형선,https://www.instagram.com/p/DXrBfp5gK1n/,120245985612040659
(운영X) [26.04]F_I_P혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.쟁임혜택형.직원실수.내부유출.현장감_확장_문선정_260429_1셀_김민우,https://www.instagram.com/p/DXtihajADmu/,120246011335730659
(운영X) [26.04]F_I_P혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.쟁임혜택형.한정성강조.예외적할인.여름맞이.내일.종료됩니다.오늘까지.무제한_확장_문선정_260429_1셀_김민우,https://www.instagram.com/p/DXtihYDAFUB/,120246011335740659
(운영X) [26.04]F_I_P혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.쟁임혜택형.한정성강조.예외적할인.여름맞이.다시는없어요_확장_문선정_260429_1셀_김민우,https://www.instagram.com/p/DXtihZYANGz/,120246011335700659
(운영X) [26.04]F_I_P혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.쟁임혜택형.한정성강조.예외적할인.여름맞이.이번주까지만.990원_확장_문선정_260429_1셀_김민우,https://www.instagram.com/p/DXtihgwgMx5/,120246011335710659
(운영X) [26.04]F_I_P혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.쟁임혜택형.혜택강조.예외적할인.여름맞이.990원에.쟁이세요_확장_문선정_260429_1셀_김수정,https://www.instagram.com/p/DXtjM1XAIC6/,120246011789260659
(운영X) [26.04]F_I_P혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.쟁임혜택형.혜택강조.예외적할인.여름맞이.무제한990원_확장_문선정_260429_1셀_김수정,https://www.instagram.com/p/DXtjMzRgPi0/,120246011789270659
(운영X) [26.04]F_I_P혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.쟁임혜택형.혜택강조.예외적할인.여름맞이.저당파인트8종.몇개를.더담든_확장_문선정_260429_1셀_김수정,https://www.instagram.com/p/DXtjMwwABLR/,120246011789240659
(운영X) [26.04]F_I_P혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.쟁임혜택형.혜택강조.예외적할인.여름맞이.저당파인트8종을.개당990원_확장_문선정_260429_1셀_김수정,https://www.instagram.com/p/DXtjMnDAH4l/,120246011789280659
(운영X) [26.04]F_I_P혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.쟁임혜택형.혜택강조.예외적할인.여름맞이.지금.쟁여두세요_확장_문선정_260429_1셀_김수정,https://www.instagram.com/p/DXtjMj6AHUs/,120246011789250659
(운영X) [26.04]F_I_ZB혼_전환_파인트990원_혜택강조형_혜택.100_.배너_혜택O.무제한.아무리담아도990원딜.무제한특가막차_확장_김바다_260430_1셀_오형선,https://www.instagram.com/p/DXwGSRAgK9M/,120246077288480659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_직원설득형_혜택.100_.배너_브팀기획.식감강조.공지문.맛.입안가득생딸기가득_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVzgwqgPsb/,120247049798990659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_직원설득형_혜택.100_.배너_브팀기획.식감강조.공지문.비교프레임.믹서기갈린식감아니고_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVzgq-gGp-/,120247049799000659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격강조.가독성.딸기씨.딸기씨가톡톡씹혀생딸기먹는듯시원새콤_확장_허재희_260520_1셀_오형선,https://www.instagram.com/p/DYjyfGRACd3/,120247395605090659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격강조.가독성.딸기씨.딸기씨까지통째로넣어생딸기의산뜻상큼함그대로_확장_허재희_260520_1셀_오형선,https://www.instagram.com/p/DYjw0CEAKCd/,120247394893070659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격강조.가독성.딸기씨.진짜딸기듬뿍넣어딸기씨가콕콕_확장_허재희_260520_1셀_오형선,https://www.instagram.com/p/DYjw0F8ACrr/,120247394893080659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격강조.가독성.먹조합.더워지는날씨새콤달콤딸기향진한화채한사발_확장_허재희_260520_1셀_오형선,https://www.instagram.com/p/DYjx1agACN9/,120247395481400659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격강조.가독성.산뜻상콤한생딸기주스맛그대로_확장_허재희_260520_1셀_오형선,https://www.instagram.com/p/DYjuvgHAG8i/,120247393591230659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격강조.가독성.상콤달콤함배가되는화채드세요_확장_허재희_260520_1셀_오형선,https://www.instagram.com/p/DYjxtOTgC91/,120247393879670659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격강조.가독성.생딸기주스급딸기씨까지통째로넣어더찐한_확장_허재희_260520_1셀_오형선,https://www.instagram.com/p/DYjuvZLADkh/,120247393591200659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격강조.가독성.함량비교.딸기향아이스크림아니고_확장_허재희_260520_1셀_오형선,https://www.instagram.com/p/DYjyfEMgHtj/,120247395605030659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.맛강조.비교프레임.인공시럽맛아니고_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVzgsUgCR5/,120247049799020659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.맛강조.스크류바맛.내일종료됩니다_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVzgr4gP7n/,120247049799040659
