date,ad_id,campaign_name,adset_name,ad_name,impressions,clicks,spend,conversions,thruplay,광고목적
2026-09-15,120243940488790659,[빙과_파인트_초코] 26.02_복요파출시_수동_전환_video_전체타겟,쩜오건_3월 3주차,[26.03]F_V_P초_전환_복요파출시_쩜오건_밈활용_var1.릴스_기본.03_00_이봄_260320_1T_이봄1,8213,211,229626,13,464,전환
2026-09-15,120250719511590659,[빙과_스틱바_듬뿍바] 26.06_듬뿍바출시_ASC_전환_video_전체타겟_7월 2주차_풀리오BP/지인네고,[빙과_스틱바_듬뿍바] 26.06_듬뿍바출시_ASC_전환_video_전체타겟_7월 2주차_풀리오BP/지인네고,[26.07]F_V_DB베_전환_듬뿍바출시이벤트_네고형_지인네고형_var2.릴스_대세감.X_1P_고가영_260710_빙과_이수민,6359,116,123615,13,324,전환
2026-09-15,120250879871970659,[빙과_파인트_말차] 26.07_말차재입고_수동_전환_video_전체타겟,7월 3주차_지인네고형_P말,[26.07]F_V_P말_전환_말차재입고_네고형_지인네고형_var4.릴스_젤라또몽둥이.7월.수민PJ_1P_영상팀_260716_빙과_이수민,31806,631,508882,26,3847,전환
2026-09-15,120251470127770659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_image_전체타겟,0807_100원_P골,[26.07]F_I_P혼_전환_상시__혜택강조형__.배너_죄송합니다.여름한정제품이라.여름과일상큼함.과일보다낮은당류.__이도경_260807_빙과_김민우,2468,24,28685,0,0,전환
2026-09-15,120251570800890659,[빙과_파인트] 26.08_재집행_수동_전환_video_남성타겟,8월 2주차_재집행_P초_2,[26.03]F_V_P초_전환_복요파출시_네고형_실수네고형_var3.릴스_살려주세요.03_00_고가영_260320_1T_윤성미,59956,1205,1053807,65,5567,전환
2026-09-15,120251696400670659,[빙과_파인트_골키파] 26.08_골키파출시_ASC_전환_video_전체타겟_8월 2주차_지인네고/안다르BP,[빙과_파인트_골키파] 26.08_골키파출시_ASC_전환_video_전체타겟_8월 2주차_지인네고/안다르BP,[26.08]F_V_P말_전환_골키파출시_맛인지형_안다르BP_var2.릴스_말차.시즌종료.8월.수민PJ_파인트P_영상팀_260814_빙과_이수민,2073,33,30991,1,41,전환
2026-09-15,120250831611110659,[빙과_파인트] 26.07_재집행_ASC_전환_video_전체타겟_7월 3주차_B1,[빙과_파인트] 26.07_재집행_ASC_전환_video_전체타겟_7월 3주차_B1,[26.03]F_V_P초_전환_복요파출시_네고형_취식책상네고형.(재)_var3.릴스_pov.03_00_고가영_260306_1T_피재은,44963,783,489960,32,4972,전환
2026-09-15,120251029630470659,[빙과_파인트_망고] 26.04_망요파출시_수동_전환_video_전체타겟,7월 4주차_바운스번BP_P망,[26.07]F_V_P망_전환_망요파출시_기타_바운스번BP_var1.릴스_이슈.환율.X_2P_이도경_260722_빙과_김지연,11648,239,126856,8,1704,전환
2026-09-15,120252003632390659,[빙과_파인트] 26.08_재집행_수동_전환_video_2039전체타겟,8월 2주차_재집행_P요/바/우,[25.09]F_V_P우_전환_멜론바리뉴얼기념_네고형_기본_main.릴스_쫀득._2509KR3_안예빈_250912_1T_서상현,5549,86,63605,5,334,전환
2026-09-15,120252115630020659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_image_전체타겟,0901_P혼_성분비교,[26.09]F_I_P혼_전환_상시__제품강조형__.배너_성분강조.타사제품대비.100원.당때문에망설이셨죠.글로벌프리미엄아이스크림.__이도경_260901_빙과_이채윤,3588,82,33409,0,0,전환
2026-09-15,120252115965460659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_image_전체타겟,0901_P혼_프리미엄원재료,[26.09]F_I_P혼_전환_상시__혜택강조형__.배너_프리미엄원재료.스테디3종.100원.사과문.비싼원물아낌없이넣어.__이도경_260901_빙과_이채윤,5543,91,84851,4,0,전환
2026-09-15,120252115972060659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_image_전체타겟,0901_P혼_프리미엄원재료,[26.09]F_I_P혼_전환_상시__혜택강조형__.배너_프리미엄원재료.스테디3종.100원.워낙비싼원재료라곧정상가로돌아갑니다.__이도경_260901_빙과_이채윤,643,12,13689,0,0,전환
2026-09-15,120252147932220659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_image_전체타겟,0903_P혼_성분,[26.09]F_I_P혼_전환_상시__혜택강조형__.배너_성분강조.100원.글로벌프리미엄아이스크림제치고1등기념.부담없이이기회에.__이도경_260903_빙과_김민우,42,1,625,0,0,전환
2026-09-15,120252176793430659,[빙과_파인트_골키파] 26.09_골키파출시_ASC_전환_video_전체타겟_9월 1주차_소비자네고/불신해소형,[빙과_파인트_골키파] 26.09_골키파출시_ASC_전환_video_전체타겟_9월 1주차_소비자네고/불신해소형,[26.09]F_V_P말_전환_골키파출시_네고형_소비자네고형_main.릴스_페인포인트.가격.9월.수민PJ_파인트P_이도경_260904_빙과_김지연,6193,117,123167,7,758,전환
2026-09-15,120252176812940659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_video_전체타겟,9월 1주차_클룹BP_P말,[26.09]F_V_P말_전환_골키파출시_신규BP_클룹BP_main.릴스_공통.기본.9월.수민PJ_파인트P_영상팀_260904_빙과_이수민,7587,163,100645,6,825,전환
2026-09-15,120252176836590659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_video_전체타겟,9월 1주차_클룹BP_P말,[26.09]F_V_P말_전환_골키파출시_신규BP_클룹BP_var3.릴스_POV.몸짱.9월.수민PJ_파인트P_영상팀_260904_빙과_이수민,2454,35,28736,1,271,전환
2026-09-15,120252176848290659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_video_전체타겟,9월 1주차_클룹BP_P말,[26.09]F_V_P말_전환_골키파출시_신규BP_클룹BP_var4.릴스_맛SP.9월.수민PJ_파인트P_영상팀_260904_빙과_이수민,77,4,1882,1,6,전환
2026-09-15,120252177921050659,[빙과_파인트_골키파] 26.09_골키파출시_ASC_전환_video_전체타겟_9월 1주차_소비자네고/불신해소형,[빙과_파인트_골키파] 26.09_골키파출시_ASC_전환_video_전체타겟_9월 1주차_소비자네고/불신해소형,[26.09]F_V_P말_전환_골키파출시_맛인지형_불신해소형_main.릴스_공통부터.9월.수민PJ_파인트P_영상팀_260904_빙과_정하얀,6,0,75,0,2,전환
2026-09-15,120252181016220659,[빙과_스틱바_복숭아쫀득] 26.09_쫀득바출시_수동_전환_image_전체타겟,[복숭아쫀득바] 26.09_복쫀바출시_전환_image_전체타겟_식감,[26.09]F_I_JD복_전환_복쫀바출시_제품강조형__.배너_과일계에르메스.다시는없어요.0원증정.__고가영_260904_빙과_이채윤,494,14,12196,0,0,전환
2026-09-15,120252181092750659,[빙과_스틱바_복숭아쫀득] 26.09_쫀득바출시_수동_전환_image_전체타겟,[복숭아쫀득바] 26.09_복쫀바출시_전환_image_전체타겟_식감,[26.09]F_I_JD복_전환_복쫀바출시_제품강조형__.배너_과일계에르메스.매거진형.출시특가.__고가영_260904_빙과_이채윤,41,1,593,0,0,전환
2026-09-15,120252181336990659,[빙과_스틱바_복숭아쫀득] 26.09_쫀득바출시_수동_전환_image_전체타겟,[복숭아쫀득바] 26.09_복쫀바출시_전환_image_전체타겟_한정성,[26.09]F_I_JD복_전환_복쫀바출시_혜택강조형__.배너_시즌한정성.네고형.지금놓치면1년을기다려야해요.__고가영_260904_빙과_이채윤,3920,68,58871,2,0,전환
2026-09-15,120252181350430659,[빙과_스틱바_복숭아쫀득] 26.09_쫀득바출시_수동_전환_image_전체타겟,[복숭아쫀득바] 26.09_복쫀바출시_전환_image_전체타겟_대세감,[26.09]F_I_JD복_전환_복쫀바출시_혜택강조형__.배너_대세감.누적판매량400만개.쫀득바신상복숭아맛출시.출시특가0원.__고가영_260904_빙과_이채윤,65,0,1957,0,0,전환
2026-09-15,120252181361960659,[빙과_스틱바_복숭아쫀득] 26.09_쫀득바출시_수동_전환_image_전체타겟,[복숭아쫀득바] 26.09_복쫀바출시_전환_image_전체타겟_고효율,[26.09]F_I_JD복_전환_복쫀바출시_혜택강조형__.배너_가격이득.4만원을0원에.출시특가반짝세일.출시특가0원.__고가영_260904_빙과_이채윤,2148,27,40827,1,0,전환
2026-09-15,120252235104600659,[빙과_파인트] 26.09_파트너십광고_ASC_전환_video_전체타겟_9월 2주차,[빙과_파인트] 26.09_파트너십광고_ASC_전환_video_전체타겟_9월 2주차_1,[26.09]F_V_P초_전환_골키파출시_파트너십_센,1490,23,23463,1,77,전환
2026-09-15,120252233310640659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_image_전체타겟,0908_P혼_100원,[26.09]F_I_P혼_전환_상시_혜택강조형__.배너_권위자.성분.100원.약사도인정한믿고먹는저당템.타사대비98%낮아.마음껏.__고가영_260908_빙과_이채윤,9,0,239,0,0,전환
2026-09-15,120252233333800659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_image_전체타겟,0908_P혼_100원,[26.09]F_I_P혼_전환_상시_혜택강조형__.배너_물량.대세감.100원.매거진형.글로벌프리미엄브랜드제치고1위한.SNS핫템.__고가영_260908_빙과_이채윤,570,6,12870,0,0,전환
2026-09-15,120252233338390659,[빙과_파인트_골키파] 26.07_골키파출시_수동_전환_image_전체타겟,0908_P혼_100원,[26.09]F_I_P혼_전환_상시_혜택강조형__.배너_물량.대세감.100원.사과문.저희도죄송스럽습니다.품절전지금쟁이세요.__고가영_260908_빙과_이채윤,1,0,2,0,0,전환
