소재명,youtube_link
26 07F V JD멜 인지 쫀득바출시 바이럴형 썰풀기형 var1 릴스 롱버전 X 1P 문선정 260710 빙과 김진수,https://www.youtube.com/watch?v=n9PgqHzNb7M
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 관계강조형 main 릴스 본론 X 1P 김유진 260710 빙과 이수현,https://www.youtube.com/watch?v=VunuFJHxmes
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 관계강조형 var1 릴스 치즈칩 X 1P 김유진 260710 빙과 이수현,https://www.youtube.com/watch?v=jFO-zrS6VMU
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 관계강조형 var3 릴스 1등소구 X 1P 김유진 260710 빙과 이수현,https://www.youtube.com/watch?v=CRU4vZCNIWA
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 관계강조형 var4 릴스 흔한남매 X 1P 김유진 260710 빙과 이수현,https://www.youtube.com/watch?v=QX75y1kRf68
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 관계강조형 var5 릴스 하몽 당황 X 1P 김유진 260710 빙과 이수현,https://www.youtube.com/watch?v=vQG6OliErZk
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 관계강조형 var7 릴스 하몽 레시피 X 1P 김유진 260710 빙과 이수현,https://www.youtube.com/watch?v=2kyTKuHkLj0
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 누나동생 main 릴스 버스타고 X 2P 문선정 260710 빙과 유영현,https://www.youtube.com/watch?v=_h8b6XDrSG4
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 누나동생 var1 릴스 하나사려고 X 2P 문선정 260710 빙과 유영현,https://www.youtube.com/watch?v=7HtuIczY-Bo
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 누나동생 var2 릴스 동생난리 X 2P 문선정 260710 빙과 유영현,https://www.youtube.com/watch?v=3k-x8cRi12U
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 인물리뷰 main 릴스 현장 X 2P 영상팀 260710 빙과 노현경,https://www.youtube.com/watch?v=YC7A3vRlfX8
26 07F V JD멜 인지 쫀득바출시 인물리뷰형 인물리뷰 var1 릴스 나레이션 X 2P 영상팀 260710 빙과 노현경,https://www.youtube.com/watch?v=QZuD1nEV1ow
26 07F V JD멜 인지 쫀득바출시 일상반응형 누나동생 main 릴스 며칠전 X 2P 문선정 260710 빙과 유영현,https://www.youtube.com/watch?v=ARwsH7NcsOk
26 07F V JD멜 인지 쫀득바출시 일상반응형 누나동생 var1 릴스 시무룩 X 2P 문선정 260710 빙과 유영현,https://www.youtube.com/watch?v=Ixa-ZWThDQo
26 07F V JD멜 인지 쫀득바출시 일상반응형 누나동생 var2 릴스 틱톡먹방 X 2P 문선정 260710 빙과 유영현,https://www.youtube.com/watch?v=km8EqcYrA0A
26 07F V JD멜 인지 쫀득바출시 일상반응형 누나동생 var3 릴스 세대변화 X 2P 문선정 260710 빙과 유영현,https://www.youtube.com/watch?v=VMjqwecXdh4
26 07F V JD멜 인지 쫀득바출시 일상반응형 누나동생 var5 릴스 황치즈 X 2P 문선정 260710 빙과 유영현,https://www.youtube.com/watch?v=iUJvP3_1mVM
26 07F V JD멜 인지 쫀득바출시 일상반응형 지인대화 var4 릴스 공통 X 1P 영상팀 260710 빙과 정요한,https://www.youtube.com/watch?v=s3oo1-zCZj4
26 07F V JD멜 인지 쫀득바출시 일상반응형 지인대화 var5 릴스 축약 X 1P 영상팀 260710 빙과 정요한,https://www.youtube.com/watch?v=NxIYG6f1F98
26 07F V JD멜 전환 쫀득바출시 신규BP 양배추bp main 릴스 인지 공통 X 2P 김유진 260710 빙과 이하림,https://www.youtube.com/watch?v=g_IwBwJpm2w
26 07F V JD멜 전환 쫀득바출시 신규BP 양배추bp var1 릴스 인지 상사 X 2P 김유진 260710 빙과 이하림,https://www.youtube.com/watch?v=bIjvKaOy8yk
26 07F V JD멜 전환 쫀득바출시 신규BP 양배추bp var2 릴스 인지 500통 X 2P 김유진 260710 빙과 이하림,https://www.youtube.com/watch?v=GEh1SoqNnA0
F_V_P혼_인지_말차재입고_바이럴형_통화형_확장_main.렉카_구독자들이 말 절대,https://www.youtube.com/watch?v=Dx7DO_M7Zkg
